WMT,AMZN,AAPL,CVS,UNH,XOM,BRK.B,GOOGL,MCK,ABC
151.65,91.01,146.63,102.01,535.04,106.85,310.57,99.48,382.44,171.28
149.89,88.25,142.91,101.19,539.32,103.88,307.78,96.98,378.04,169.32
149.11,88.46,140.94,102.28,542.91,103.65,305.82,94.94,385.51,170.29
148.78,90.35,142.65,102.53,547.92,104.42,305.99,93.71,381.64,170.46
145.31,89.09,142.16,101.65,539.2,103.54,306.39,92.83,371.41,165.33
148.02,90.55,144.49,103.79,545.86,106.09,311.45,93.31,377.75,167.2
147.49,92.49,145.47,101.19,538.22,107.25,312.33,95.63,371.09,165.03
146.67,91.58,143.21,100.68,538.36,106.46,309.29,95.07,372.31,165.27
145.36,88.45,136.5,97.6,527.68,105.44,301.91,90.86,368.28,165.6
142.75,87.86,134.51,95.45,523.7,104.7,300,90.26,372.64,166.79
142.8,84.92,132.37,95.05,523.6,105.17,300.03,88.44,375.54,167.22
144.05,85.19,132.3,95,520.21,106.69,302,89.02,375.55,167.38
145.18,86.77,135.45,94.12,527.54,108.06,307.82,89.58,380.46,169.32
143.48,83.79,132.23,93.4,527.09,105.88,302.69,87.76,381.79,169.27
143.77,85.25,131.86,93.56,531.31,108.68,306.49,89.23,383.67,170.01
143.81,83.04,130.03,93.02,531.99,110.19,305.55,87.39,380.19,169
141.29,81.82,126.04,92.76,528.45,108.38,303.43,86.02,377.51,167.36
142.15,84.18,129.61,93.45,529.88,109.2,309.06,88.45,375.12,166.05
141.79,84,129.93,93.19,530.18,110.3,308.9,88.23,375.12,165.71
143.6,85.82,125.07,92.91,518.64,106.51,309.91,89.12,374.33,164.29
143.76,85.14,126.36,91.98,504.5,106.82,314.55,88.08,374.01,162.87
143.27,83.12,125.02,90.45,489.96,109.21,312.9,86.2,374.05,163.08
146.78,86.08,129.62,91.6,490,110.53,318.69,87.34,386.05,165.71
144.95,87.36,130.15,91.49,490.06,108.47,315.53,88.02,381.96,164.97
144.86,89.87,130.73,90.65,486,110.09,316.35,88.42,382.67,167.26
146.13,95.09,133.49,89.75,493.4,111.37,320.37,91.52,380.8,165.39
144.81,95.27,133.41,89.18,495.67,113.22,318.93,91.13,380.84,164.9
145.29,98.12,134.76,89.92,489.57,113.15,317.64,92.12,381.81,164.28
144.41,96.05,135.94,89.37,485.08,112.93,314.86,91.29,383.47,164.16
140.84,95.46,135.21,88.2,476.24,110.61,308.3,91.12,378.4,162.95
138.83,93.68,135.27,87.48,484.36,111.32,305.23,93.05,378.72,162.94
140.54,97.25,137.87,87,486.72,113.35,309.87,98.02,378.04,162.21
142.64,97.52,141.11,87.2,485.81,112.76,310.42,99.79,375.03,161.72
143.02,96.32,142.53,86.02,491.6,113.81,311.3,97.7,376.5,161.43
142.34,97.18,141.86,85.75,492.5,113.21,311.9,95.22,376.05,163.46
142.21,99.22,143.96,87.66,492.48,117.76,310.95,97.52,384.12,164.91
143.3,102.24,145.93,87.78,486.05,115.61,309.17,99.37,379.2,164.16
142.15,100.55,143,87.05,485.79,113.56,307.33,96.94,378.69,165.31
143.87,103.13,144.29,88.22,499.19,116.01,311.52,98.84,378.68,168.96
144.67,105.15,145.43,87.49,497,114.74,310.57,100.43,370.98,161.05
143.62,112.91,150.82,86.18,470.83,111.15,311.86,107.74,366.48,158.47
141.71,103.39,154.5,85.77,472.02,111.92,308.51,104.78,362.58,156.73
140.68,102.18,151.73,85.25,475.24,111.73,308.43,102.9,358.13,154.49
140.98,102.11,154.65,85.98,476.88,114.92,312.97,107.64,363.61,156.79
140.22,100.05,151.92,88.96,483.22,113.92,308.48,99.37,366.68,157.85
141.52,98.24,150.87,90.07,485.73,114.35,307.21,95.01,362.36,155.02
143.72,97.61,151.01,89.66,494.25,119.17,309.89,94.57,368.07,159.03
145.91,99.54,153.85,89.87,495.35,117.8,313.74,94.61,366.96,158.61
145.49,99.7,153.2,88.52,492.83,116.42,310.79,94.68,365.85,157.36
146.57,101.16,155.33,88.35,491.25,116.07,309.63,96.94,363.64,158.81
144.27,98.15,153.71,87.97,487.35,115.73,308.18,95.51,363.75,160.47
146.44,97.2,152.55,88.58,499.08,111.28,308.24,94.35,366.86,161.49
147.33,94.58,148.48,87.62,491.31,111.17,302.72,91.79,361.51,160.84
144.24,95.79,148.91,87.21,488.89,109.73,303.16,91.65,360.7,160.13
142.09,95.82,149.4,86.87,491.69,110.74,303.07,90.89,360.33,159.5
142.47,93.5,146.71,85.77,484.33,110.75,304.02,89.13,359.14,158.57
141.44,93.76,147.92,84.84,483.32,110.55,304.66,89.87,355.35,156.63
142.13,94.23,147.41,83.54,475.94,109.91,305.18,90.06,349.81,155.56
140.15,92.17,145.31,82.47,475.22,110.89,304.62,90.36,351.75,156.51
140.5,92.13,145.91,81.43,477.7,111.4,307.75,92,347.34,154.9
140.67,94.9,151.03,81.81,478.56,112.81,312.45,93.65,345.67,156.15
140.65,93.75,153.83,82.97,480.78,113.81,316.97,95.13,347.89,156.46
139.25,93.55,151.6,80.45,473.88,111.61,311.12,93.86,337.33,153.21
138.1,93.92,152.87,79.81,470.6,109.98,311.37,94.25,338.28,151.86
137.17,92.25,150.59,77,464.91,109.13,304.82,92.32,335.97,150
136.97,90.73,148.5,77.1,460.33,107.78,303.63,90.63,336.2,149.6
137.37,92.43,150.47,76.28,463.68,106.54,302.88,91.11,335.4,148.37
138.1,94.88,152.59,75.56,464.58,106.94,305.33,93.97,336.5,149.29
139.64,96.2,152.99,75.4,465.43,101.62,297.88,96.11,335.35,149.61
138.28,100.04,155.85,75.83,472.02,101.03,302.01,100.32,339.92,152.05
139.4,98.95,155,74.37,469.5,99.84,293.51,101.62,339.35,152.02
140.9,97.71,157.4,74.98,476.96,102.45,301.06,101.22,345.25,153.86
140.42,100.61,159.28,75.56,480.1,107.04,303.85,104.92,347.47,156.04
139.52,98.7,157.83,74.41,475.52,104.59,299.73,103.37,341.82,153.44
140.65,98.71,158.93,72.37,469.91,103.41,298.37,105.6,335.83,150.93
141.8,98.13,160.25,73.26,475.99,103.53,298.92,105.44,346.56,156.41
144.17,98.04,158.28,73.57,481.9,105.8,302.14,102.46,349.4,156.69
143.61,97.24,157.65,73.12,472.58,107.12,302.32,101.03,354.48,158
144.23,100.25,160.77,74.09,466.59,108.96,305.3,101.39,357.16,158.97
145.67,102,162.36,74.7,470.06,109.49,305.08,100.89,357.78,159.34
147.45,103.29,164.9,74.31,472.59,109.66,308.77,103.73,356.05,160.11
148.69,102.41,166.17,76.09,494.19,116.13,310.31,104.36,363.77,162.28
